PLAYER_ID,PLAYER_NAME,TEAM,PROJECTED_AGE,PROJECTED_TS_PCT,HDI_LOW,HDI_HIGH
1642266,Ja'Kobe Walter,TOR,22.0,0.5808710874503088,0.5355759681229852,0.625141365140827
1630202,Payton Pritchard,BOS,29.0,0.5805691812474415,0.5492328599861513,0.6092917492945915
1629731,Dean Wade,CLE,30.0,0.5804095668473992,0.5509514812648236,0.6104937618311991
1628991,Jaren Jackson Jr.,UTA,27.0,0.5802173295545119,0.5503225087845222,0.6112674777578375
1631097,Bennedict Mathurin,LAC,25.0,0.5801863256874806,0.5467013793079486,0.6132020757549945
1642261,Dalton Knecht,LAL,26.0,0.5801302990349653,0.5375927891538035,0.6260671304580832
1642281,Jaylon Tyson,CLE,24.0,0.5795929669546048,0.5355349561464975,0.6243465482962159
1642352,Keshad Johnson,MIA,26.0,0.5794907388751676,0.5247446331715049,0.634950198697575
1628368,De'Aaron Fox,SAS,29.0,0.5792365014209805,0.5505038594192614,0.6101057179018281
203926,Doug McDermott,SAC,35.0,0.5791188207212925,0.5501492651551131,0.6102539649920136
1630551,Justin Champagnie,WAS,26.0,0.5790556361682621,0.5451469096065846,0.6124140614292458
1642907,Cedric Coward,MEM,23.0,0.5788674417547822,0.5213449304008718,0.6366045111321499
1630172,Patrick Williams,CHI,25.0,0.5788320486179703,0.5486641596272943,0.6112734947642828
1630174,Aaron Nesmith,IND,27.0,0.5788209917451131,0.547158383340759,0.6093585265734316
1629599,Amir Coffey,PHX,30.0,0.5787931118750591,0.5493321047347038,0.6098585793021257
1641707,Taylor Hendricks,MEM,23.0,0.5787848549832733,0.5326186487479223,0.6209569485181368
1630166,Deni Avdija,POR,26.0,0.5786554721741518,0.547658734935137,0.6089737273411223
1630696,Dru Smith,MIA,29.0,0.5783213381566294,0.5350431847117982,0.6232113250938148
1630590,Scotty Pippen Jr.,MEM,26.0,0.5782036814753428,0.540827947535005,0.6166160206475229
1630193,Immanuel Quickley,TOR,28.0,0.5778984337446793,0.5489954316800387,0.6089336163225781
1642862,Liam McNeeley,CHA,21.0,0.5777688405381227,0.523898542054754,0.6360157776692956
203924,Jerami Grant,POR,33.0,0.5777325473083624,0.5490141486134672,0.6104274374158472
1627759,Jaylen Brown,BOS,30.0,0.5776548640877169,0.544772282202953,0.6067881732029294
1631121,Bryce McGowens,NOP,24.0,0.5776357252693878,0.5402332332329334,0.6136374674849396
1627742,Brandon Ingram,TOR,29.0,0.5775999638143735,0.5459229280809148,0.606156036437137
1628970,Miles Bridges,CHA,29.0,0.5774220843463745,0.5454761367878089,0.6105474965314603
1626172,Kevon Looney,NOP,31.0,0.5773692161821122,0.5480957614636733,0.6099291824726039
1642366,Quinten Post,GSW,27.0,0.5770543990155756,0.534608450851394,0.6217324406367848
1631170,Jaime Jaquez Jr.,MIA,26.0,0.5765235570129146,0.5383326887949395,0.6142757568520151
1629660,Ty Jerome,MEM,29.0,0.5763860976207602,0.5435304374445341,0.6117852572658512
1630529,Herbert Jones,NOP,28.0,0.5760992323854978,0.5464913149128693,0.6062207347354333
1631248,Baylor Scheierman,BOS,26.0,0.5758102436856171,0.5329305787182168,0.6217832542902508
1629004,Svi Mykhailiuk,UTA,30.0,0.5755608660923137,0.5438769250055228,0.605483639809889
1641718,Keyonte George,UTA,23.0,0.5755538071074842,0.5387014651688976,0.6146316863563557
1630170,Devin Vassell,SAS,26.0,0.5750859091995759,0.5459622805204598,0.6064178565919733
1631212,Peyton Watson,DEN,24.0,0.5749455530775445,0.5416841110374808,0.6080569721527077
1642863,Khaman Maluach,PHX,20.0,0.574841787693063,0.5196056684083142,0.6314875300893698
1626171,Bobby Portis Jr.,MIL,32.0,0.5747753364718493,0.5451132950782277,0.6074902283636469
1641890,Tyler Smith,DAL,22.0,0.5745872285394017,0.5304886776301538,0.6190014248209571
1642348,Justin Edwards,PHI,23.0,0.5741600788737161,0.5292939010308008,0.6179862331429941
1629680,Matisse Thybulle,POR,30.0,0.5741369144015819,0.5435926133523609,0.6046310120580701
1631342,Daeqwon Plowden,SAC,28.0,0.5734097882998217,0.516329085053065,0.6295960271846366
1628401,Derrick White,BOS,32.0,0.5731812449518623,0.5426735374716893,0.6035460300958502
1642272,Jared McCain,OKC,23.0,0.5731559581040023,0.5302939208680907,0.6199384795291834
1641739,Toumani Camara,POR,27.0,0.5726447032335131,0.5348908490177317,0.6103893434668304
201942,DeMar DeRozan,SAC,37.0,0.5725627458815198,0.541541706264596,0.6031457511460617
1642275,Tidjane Salaün,CHA,21.0,0.5724473989797336,0.5288908787374617,0.6185366126143774
1641775,Jordan Walsh,BOS,23.0,0.5723999535238161,0.52562770804653,0.6152871723914018
1631466,Nate Williams,GSW,28.0,0.5723265590864671,0.5344359697936356,0.6094348650187701
1628978,Donte DiVincenzo,MIN,30.0,0.5723217581021445,0.5424256487577357,0.6031066561989613
1641764,Brandin Podziemski,GSW,24.0,0.572219465000787,0.5338047456088602,0.6078380284777845
1641729,Brice Sensabaugh,UTA,23.0,0.5720399882105678,0.5348281807387734,0.6099697283458885
1641765,Olivier-Maxence Prosper,MEM,24.0,0.572027734867353,0.5321587074245672,0.6097888883932857
1629631,De'Andre Hunter,SAC,29.0,0.5718970584967185,0.5417114191557102,0.6036460251073145
202699,Tobias Harris,DET,34.0,0.5718919610071012,0.5416199724412007,0.6026892933640898
